tfidf_cosine,bleu,rouge_l,turn_id,condition,sample_idx,source_file
0.10611657709472758,0.009410489957951634,0.16216216216216217,1,C1,1,C1attempt_01.json
0.2187531230505734,0.006853847405524846,0.26229508196721313,2,C1,1,C1attempt_01.json
0.179522658299189,0.020255986027125642,0.2608695652173913,3,C1,1,C1attempt_01.json
0.1898627272653315,0.03060941296457685,0.14035087719298242,5,C1,1,C1attempt_01.json
0.14535985300861146,0.05452651847970717,0.23076923076923078,6,C1,1,C1attempt_01.json
0.5381385939035185,0.09669265690880861,0.380952380952381,8,C1,1,C1attempt_01.json
0.0,0.0,0.0,9,C1,1,C1attempt_01.json
0.11268870756420567,0.004802268984305697,0.12244897959183675,10,C1,1,C1attempt_01.json
0.0,0.0,0.0,11,C1,1,C1attempt_01.json
0.1263637396650437,0.01909690192411307,0.3,12,C1,1,C1attempt_01.json
0.25536527721650487,0.023878611921416725,0.25,14,C1,1,C1attempt_01.json
0.09806824934046246,0.011884775898621575,0.1935483870967742,16,C1,1,C1attempt_01.json
0.1721405361560629,0.02280524813980463,0.2941176470588235,17,C1,1,C1attempt_01.json
0.26055567105626243,0.0428361950754725,0.34782608695652173,19,C1,1,C1attempt_01.json
0.20052644513991702,0.008793827819069944,0.18604651162790697,21,C1,1,C1attempt_01.json
0.15331735112518735,0.07001843277722804,0.25,22,C1,1,C1attempt_01.json
0.14635622709243928,0.010723804459332433,0.24,23,C1,1,C1attempt_01.json
0.0,0.0,0.0,24,C1,1,C1attempt_01.json
0.20019817230666118,0.038949067388366815,0.27272727272727276,26,C1,1,C1attempt_01.json
0.3040344055178825,0.07029695662739609,0.5217391304347827,27,C1,1,C1attempt_01.json
0.18235767245690843,0.0029275889231311753,0.17142857142857143,28,C1,1,C1attempt_01.json
0.14583659189722664,0.008762332222332319,0.1568627450980392,29,C1,1,C1attempt_01.json
0.13596685101552364,0.004401671624742202,0.15789473684210525,30,C1,1,C1attempt_01.json
0.0,0.0,0.0,31,C1,1,C1attempt_01.json
0.15433833814874348,0.0029204741478499013,0.2040816326530612,32,C1,1,C1attempt_01.json
0.196408951127118,0.04857956790684703,0.24390243902439024,34,C1,1,C1attempt_01.json
0.0,0.014386773665469615,0.07142857142857142,35,C1,1,C1attempt_01.json
0.07152672071106578,0.010182425646195498,0.125,1,C1,2,C1attempt_02.json
0.12591146906879683,0.005972091697299857,0.17647058823529413,2,C1,2,C1attempt_02.json
0.045573612711752684,0.013217947626377298,0.07407407407407407,3,C1,2,C1attempt_02.json
0.11566578184683995,0.008011213307186082,0.16666666666666666,5,C1,2,C1attempt_02.json
0.14535985300861146,0.05452651847970717,0.23076923076923078,6,C1,2,C1attempt_02.json
0.48930543985079156,0.08225964699966554,0.3478260869565218,8,C1,2,C1attempt_02.json
0.0,0.0,0.0,9,C1,2,C1attempt_02.json
0.011880116223600402,0.004415870094622744,0.03278688524590164,10,C1,2,C1attempt_02.json
0.0658496654879364,0.007302115974753003,0.0784313725490196,11,C1,2,C1attempt_02.json
0.23577033983032974,0.039447492477737316,0.23529411764705882,12,C1,2,C1attempt_02.json
0.26926468132504056,0.03267446468551935,0.2727272727272727,14,C1,2,C1attempt_02.json
0.09485596580009678,0.012039533619616523,0.18750000000000003,16,C1,2,C1attempt_02.json
0.14174890322234543,0.024309548251524583,0.15384615384615383,17,C1,2,C1attempt_02.json
0.2746117864358066,0.05307712171072445,0.2727272727272727,19,C1,2,C1attempt_02.json
0.15809861370022532,0.009105843285847195,0.13636363636363635,21,C1,2,C1attempt_02.json
0.0,0.0,0.0,22,C1,2,C1attempt_02.json
0.21258012613030114,0.014400124446705301,0.27027027027027023,23,C1,2,C1attempt_02.json
0.0,0.0,0.0,24,C1,2,C1attempt_02.json
0.16844505415375022,0.04093103993612514,0.23529411764705882,26,C1,2,C1attempt_02.json
0.2285881613795592,0.06541868941754436,0.3478260869565218,27,C1,2,C1attempt_02.json
0.13949604716377959,0.0029275889231311753,0.11428571428571428,28,C1,2,C1attempt_02.json
0.10320237271420755,0.012583982248217607,0.13114754098360656,29,C1,2,C1attempt_02.json
0.1286266524810621,0.004401671624742202,0.15789473684210525,30,C1,2,C1attempt_02.json
0.051171029771728015,0.0,0.09523809523809525,31,C1,2,C1attempt_02.json
0.11629356761267515,0.004421955200118712,0.19999999999999996,32,C1,2,C1attempt_02.json
0.2663747780202695,0.04488049278978066,0.30303030303030304,34,C1,2,C1attempt_02.json
0.1077862696149231,0.013758777297397084,0.17391304347826086,35,C1,2,C1attempt_02.json
0.07539317005440438,0.011502783619900045,0.13333333333333333,1,C1,3,C1attempt_03.json
0.17262189698813707,0.0011049780432229076,0.1724137931034483,2,C1,3,C1attempt_03.json
0.1707761131901165,0.03986357128268015,0.17391304347826086,3,C1,3,C1attempt_03.json
0.24057951680831574,0.009768278980800063,0.1702127659574468,5,C1,3,C1attempt_03.json
0.10657035539480765,0.01931119093291195,0.16666666666666666,6,C1,3,C1attempt_03.json
0.2746117864358066,0.09329460218997072,0.4210526315789474,8,C1,3,C1attempt_03.json
0.0,0.0,0.0,9,C1,3,C1attempt_03.json
0.11268870756420567,0.004802268984305697,0.12244897959183675,10,C1,3,C1attempt_03.json
0.11702488614302206,0.001695360900064478,0.16666666666666663,11,C1,3,C1attempt_03.json
0.08938749293545316,0.011502783619900045,0.14814814814814817,12,C1,3,C1attempt_03.json
